,long_name,player_positions,overall,value_eur,age,club_position,preferred_foot,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure
29,Erling Braut Haaland,ST,88,137500000.0,20,RS,Left,3,3,4,89.0,91.0,65.0,80.0,45.0,88.0,47,94,69,77,88,78,77,62,51,85,82,94,75,88,72,94,74,82,93,87,85,43,89,71,76,84
30,Sergio Leonel Agüero del Castillo,ST,87,51000000.0,33,ST,Right,4,4,4,71.0,89.0,75.0,87.0,33.0,69.0,70,93,78,80,85,86,83,73,64,88,75,68,82,89,90,90,78,62,74,83,65,24,91,80,75,91
33,Ángel Fabián Di María Hernández,"RW, LW",87,49500000.0,33,SUB,Left,2,5,4,83.0,81.0,86.0,87.0,48.0,69.0,88,79,51,84,78,88,91,88,82,87,83,83,94,84,76,83,73,78,62,86,73,42,84,88,73,86
36,Ciro Immobile,ST,87,67500000.0,31,ST,Right,4,3,4,86.0,87.0,67.0,81.0,39.0,77.0,55,91,81,80,85,80,70,51,53,83,84,87,75,90,85,86,82,78,76,80,77,40,91,71,88,79
41,Paulo Bruno Exequiel Dybala,"CF, CAM",87,93000000.0,27,CAM,Left,3,4,3,84.0,86.0,86.0,90.0,40.0,60.0,82,85,59,87,88,90,90,88,79,93,88,80,92,80,94,84,75,70,61,89,43,42,82,91,84,79
55,Lorenzo Insigne,"LW, CF",86,65500000.0,30,LW,Right,4,4,4,87.0,78.0,85.0,90.0,36.0,45.0,77,76,59,87,74,90,87,86,84,93,90,84,89,79,93,76,50,74,34,82,34,26,81,89,87,81
58,Riyad Mahrez,"RW, RM",86,65500000.0,30,RW,Left,4,5,3,81.0,79.0,81.0,90.0,38.0,60.0,81,81,48,83,76,91,85,78,75,91,84,79,92,81,88,79,56,75,57,79,48,39,80,84,70,84
59,Gerard Moreno Balagueró,"ST, RM, RW",86,68000000.0,29,RS,Left,4,3,2,79.0,86.0,77.0,84.0,46.0,73.0,77,89,82,81,81,86,75,62,75,85,80,78,77,89,70,83,76,79,75,83,61,42,87,78,85,78
60,Jamie Vardy,ST,86,33000000.0,34,ST,Right,4,3,3,85.0,84.0,70.0,80.0,52.0,73.0,69,90,79,74,84,78,68,60,60,82,85,85,76,91,76,87,80,76,66,67,87,49,92,76,85,88
74,Edinson Roberto Cavani Gómez,ST,85,26000000.0,34,SUB,Right,4,3,4,66.0,86.0,70.0,76.0,51.0,79.0,68,89,88,75,86,74,76,74,52,81,64,68,68,90,57,87,88,81,77,77,81,54,93,75,85,85
75,Eden Hazard,LW,85,52000000.0,30,LW,Right,4,4,4,84.0,80.0,82.0,88.0,35.0,63.0,77,78,61,85,82,89,83,79,81,88,86,82,87,79,89,82,55,77,61,77,54,41,83,84,87,89
81,Pierre-Emerick Emiliano François Aubameyang,"ST, LW, LM",85,43500000.0,32,ST,Right,4,4,3,89.0,85.0,75.0,80.0,35.0,69.0,76,89,73,77,83,79,81,76,64,81,87,91,77,86,67,82,75,79,74,78,43,48,90,77,83,87
83,Antoine Griezmann,"ST, LW, RW",85,53000000.0,30,LS,Left,3,4,4,80.0,84.0,84.0,87.0,52.0,72.0,83,84,83,84,86,85,86,85,82,89,80,80,92,89,83,82,90,86,63,83,73,49,89,85,79,90
85,Roberto Firmino Barbosa de Oliveira,CF,85,54000000.0,29,CF,Right,4,5,3,77.0,78.0,79.0,89.0,59.0,78.0,73,78,78,84,83,89,81,65,76,90,77,77,85,86,86,79,81,87,74,76,75,58,82,83,72,88
86,Memphis Depay,"CF, LW, CAM",85,63000000.0,27,LW,Right,3,5,3,82.0,83.0,82.0,84.0,30.0,79.0,84,83,65,81,74,86,85,83,76,85,81,83,80,83,81,87,69,79,83,83,72,28,85,85,76,80
92,Mikel Oyarzabal Ugarte,"LW, RW",85,77500000.0,24,LW,Left,3,3,2,82.0,82.0,81.0,84.0,41.0,63.0,82,84,60,83,74,85,77,71,73,85,83,81,83,81,80,80,72,82,57,81,52,29,85,85,84,83
93,Lautaro Javier Martínez,ST,85,78000000.0,23,LS,Right,4,4,3,84.0,81.0,72.0,85.0,48.0,84.0,56,85,87,78,88,83,78,43,73,85,86,83,86,89,89,80,88,80,84,74,86,45,86,81,74,83
97,Zlatan Ibrahimović,ST,84,14500000.0,39,SUB,Right,4,5,5,65.0,87.0,78.0,79.0,34.0,77.0,72,86,83,80,88,78,80,75,73,86,64,66,71,83,53,88,79,52,87,88,84,20,89,84,83,90
100,Dries Mertens,"CF, ST, CAM",84,20500000.0,34,SUB,Right,4,4,3,85.0,82.0,80.0,88.0,34.0,50.0,73,84,40,84,70,88,82,82,72,88,90,80,93,80,92,80,58,66,37,81,59,36,82,84,79,81
105,Iago Aspas Juncal,"ST, RW",84,27000000.0,33,RS,Left,4,3,2,82.0,85.0,79.0,86.0,35.0,63.0,80,89,77,80,83,87,79,83,73,86,78,86,90,84,72,79,66,69,60,81,63,39,84,81,82,85
109,Dušan Tadić,"LW, CF, CAM",84,33500000.0,32,LW,Left,3,4,3,69.0,81.0,85.0,85.0,43.0,76.0,86,83,66,87,80,85,85,79,80,87,67,70,76,83,84,79,59,88,80,77,56,41,85,88,86,86
110,Wissam Ben Yedder,ST,84,41500000.0,30,ST,Right,5,4,2,82.0,84.0,77.0,87.0,39.0,70.0,74,88,74,82,84,87,82,76,66,87,83,81,91,86,91,84,78,75,69,74,62,44,90,80,85,85
112,Josip Iličić,"CF, ST",84,27000000.0,33,SUB,Left,4,5,3,75.0,86.0,84.0,86.0,40.0,67.0,82,85,58,86,83,88,85,83,77,88,76,74,83,80,73,88,34,65,74,89,58,46,85,87,78,80
118,Jack Grealish,"LW, LM, CAM",84,50500000.0,25,LW,Right,3,4,3,80.0,76.0,83.0,88.0,46.0,64.0,81,77,36,85,72,89,78,74,82,88,81,79,85,79,84,76,36,80,61,80,60,44,81,85,58,88
123,Hakim Ziyech,"RW, CAM",84,42500000.0,28,SUB,Left,2,5,3,78.0,76.0,87.0,83.0,50.0,65.0,88,73,52,86,74,83,90,78,89,85,79,77,85,84,78,83,35,79,58,77,73,52,82,89,67,79
126,Timo Werner,"ST, LW",84,56500000.0,25,SUB,Right,4,3,3,91.0,81.0,70.0,82.0,35.0,70.0,69,81,76,79,84,82,70,58,55,84,93,89,82,87,76,85,75,83,65,77,63,37,88,68,78,79
135,André Miguel Valente da Silva,ST,84,51000000.0,25,ST,Right,3,4,3,74.0,84.0,69.0,83.0,45.0,77.0,60,87,86,79,84,84,76,33,63,85,77,71,77,86,75,83,88,79,76,78,75,59,87,74,90,84
145,Edin Džeko,ST,83,15500000.0,35,RS,Right,5,3,3,66.0,83.0,72.0,78.0,45.0,76.0,63,85,83,77,77,78,65,54,78,86,64,67,62,80,55,86,64,74,86,78,58,50,90,74,67,86
156,Henrikh Mkhitaryan,"CF, RM, RW",83,29500000.0,32,LM,Right,5,4,3,85.0,80.0,79.0,83.0,56.0,74.0,77,80,68,83,79,84,81,66,71,83,86,85,84,82,83,84,66,88,69,77,69,60,84,84,72,82
162,Kevin Volland,"ST, CF",83,37000000.0,28,RF,Left,4,3,2,73.0,85.0,79.0,80.0,42.0,86.0,78,86,76,81,85,80,79,80,74,80,76,70,75,85,83,87,77,90,87,84,80,45,86,82,72,86
163,Álvaro Borja Morata Martín,ST,83,37000000.0,28,ST,Right,4,3,3,82.0,80.0,72.0,81.0,31.0,77.0,72,84,86,78,80,83,78,44,60,83,79,85,72,80,63,80,84,77,80,72,69,24,87,77,75,79
164,Mauro Emanuel Icardi Rivero,ST,83,37000000.0,28,SUB,Right,4,3,3,69.0,83.0,65.0,77.0,36.0,69.0,47,87,85,76,85,76,76,52,54,80,70,68,68,84,75,85,91,67,73,71,58,22,91,72,82,83
168,Raúl Alonso Jiménez Rodríguez,ST,83,35500000.0,30,ST,Right,4,3,3,72.0,82.0,76.0,81.0,47.0,82.0,73,84,85,81,82,84,75,51,75,82,63,80,75,82,65,84,74,82,84,74,81,53,84,78,92,81
171,Lucas Ariel Ocampos,"LW, RW",83,39500000.0,26,LW,Right,3,4,2,81.0,84.0,78.0,83.0,63.0,84.0,79,86,77,80,81,85,80,65,72,84,80,82,79,85,61,84,80,91,81,80,82,72,84,79,79,82
177,Ángel Martín Correa,"ST, RM",83,48000000.0,26,SUB,Right,4,4,2,85.0,83.0,78.0,87.0,49.0,74.0,75,85,69,82,80,88,82,65,66,87,86,85,90,84,87,83,49,82,71,86,79,48,84,84,55,76
178,Duván Esteban Zapata Banguera,ST,83,35500000.0,30,ST,Right,4,3,2,80.0,81.0,61.0,78.0,35.0,84.0,44,88,83,74,79,79,55,62,47,82,78,81,67,82,58,86,80,75,93,64,72,20,86,66,70,82
179,Andrej Kramarić,"ST, CAM",83,35500000.0,30,CAM,Right,4,4,3,71.0,86.0,76.0,86.0,30.0,71.0,76,87,69,81,85,87,79,78,63,86,76,67,84,84,86,84,72,76,68,85,73,21,86,74,91,83
182,Marco Asensio Willemsen,"RW, LW",83,48000000.0,25,SUB,Left,3,4,3,82.0,80.0,81.0,83.0,43.0,62.0,81,77,57,81,79,84,84,76,80,86,83,81,80,78,75,86,58,76,63,83,45,45,80,81,62,82
183,Wout Weghorst,ST,83,37000000.0,28,ST,Right,3,2,2,63.0,83.0,59.0,70.0,52.0,86.0,42,87,92,76,83,65,40,37,43,79,59,66,62,85,44,86,79,83,89,74,85,34,88,67,71,83
191,Gabriel Fernando de Jesus,ST,83,52500000.0,24,SUB,Right,3,4,2,84.0,81.0,72.0,86.0,39.0,73.0,66,84,77,77,77,86,76,54,66,86,87,82,91,86,87,82,79,79,69,76,73,32,87,77,75,79
192,Ousmane Dembélé,RW,83,55000000.0,24,RW,Left,5,5,3,93.0,77.0,77.0,86.0,36.0,56.0,81,75,43,78,76,89,82,64,76,84,94,93,89,78,80,83,58,68,51,76,54,36,77,76,75,80
195,Federico Chiesa,"RW, LW, RM",83,80500000.0,23,LM,Right,4,4,3,91.0,81.0,74.0,85.0,48.0,73.0,73,79,50,78,80,89,78,52,72,82,91,91,87,83,81,86,53,85,71,84,69,30,81,75,62,78
198,João Félix Sequeira,"CF, ST",83,82000000.0,21,SUB,Right,4,5,2,82.0,79.0,76.0,86.0,40.0,68.0,73,79,69,80,81,86,82,64,67,87,81,83,86,83,79,80,73,75,64,80,68,38,84,82,68,84
218,Alexandre Lacazette,ST,82,30000000.0,30,SUB,Right,4,4,3,75.0,82.0,74.0,82.0,44.0,72.0,68,83,75,79,79,83,74,74,70,82,77,73,81,82,82,87,76,66,75,78,73,42,82,75,79,80
224,Wilfried Zaha,"CF, LM, ST",82,31000000.0,28,RW,Right,3,5,2,89.0,77.0,73.0,87.0,34.0,75.0,76,78,47,76,67,91,64,51,65,86,88,90,87,76,79,82,58,75,77,72,72,32,76,76,72,80
225,Luis Fernando Muriel Fruto,ST,82,30000000.0,30,SUB,Right,4,4,2,89.0,83.0,74.0,86.0,27.0,67.0,71,84,69,80,78,88,79,78,55,83,87,90,85,84,88,81,60,73,72,84,50,16,83,78,89,82
230,Jesús Joaquín Fernández Sáez de la Torre,RW,82,32500000.0,27,RW,Left,3,4,2,76.0,76.0,82.0,85.0,32.0,55.0,84,72,50,84,72,87,87,81,75,88,78,75,80,78,82,78,50,72,54,87,38,20,75,83,72,77
233,Cristian Portugués Manzanera,"RW, RM, LW",82,30000000.0,29,SUB,Right,4,3,1,90.0,78.0,77.0,79.0,59.0,79.0,78,81,77,77,74,78,80,64,76,80,89,90,83,81,82,82,75,88,74,74,82,55,83,79,53,77
241,Domenico Berardi,"RW, RM",82,33500000.0,26,RM,Left,3,4,2,79.0,80.0,81.0,85.0,36.0,69.0,77,80,62,85,78,83,78,75,79,88,81,77,90,77,82,83,65,70,63,80,85,26,79,81,76,78
256,Diogo José Teixeira da Silva,"LW, ST",82,46000000.0,24,SUB,Right,5,4,2,84.0,81.0,73.0,85.0,57.0,77.0,71,84,77,75,78,85,77,58,71,85,88,81,87,84,86,84,76,81,71,75,85,56,85,75,63,83
259,Christian Mate Pulisic,"LW, RW, LM",82,49000000.0,22,LW,Right,4,4,3,89.0,70.0,73.0,86.0,37.0,59.0,74,73,50,77,70,88,69,58,59,85,91,87,87,78,88,77,79,76,54,57,45,33,79,80,61,80
268,Richarlison de Andrade,"ST, LW, LM",82,46500000.0,24,LM,Right,5,4,3,83.0,78.0,73.0,83.0,53.0,80.0,73,80,83,79,75,86,74,65,61,83,85,81,79,82,73,83,86,83,77,70,84,46,83,74,77,81
272,Alexander Isak,ST,82,45000000.0,21,ST,Right,5,4,2,84.0,82.0,68.0,79.0,29.0,69.0,61,83,77,79,83,79,70,57,47,82,82,85,79,81,66,84,71,70,75,77,52,29,86,76,75,77
276,Youssef En-Nesyri,"ST, LW",82,44000000.0,24,ST,Left,4,3,2,78.0,83.0,58.0,78.0,35.0,76.0,48,89,84,69,76,84,63,47,58,79,74,81,68,80,47,83,83,76,76,75,76,31,82,52,67,74
280,Ferran Torres García,"RW, ST",82,68500000.0,21,ST,Right,4,4,1,82.0,79.0,78.0,82.0,35.0,66.0,77,81,73,80,74,84,71,60,78,81,87,78,82,81,76,79,75,73,70,76,45,34,84,84,66,82
285,Burak Yılmaz,ST,81,11000000.0,35,LS,Right,4,3,2,79.0,83.0,69.0,73.0,34.0,79.0,68,83,75,70,77,72,68,78,61,74,78,79,72,87,48,88,68,71,81,81,85,33,87,70,80,83
298,Max Bennet Kruse,"CF, CAM",81,16500000.0,33,LS,Left,4,4,2,64.0,81.0,81.0,82.0,40.0,66.0,79,80,63,83,80,82,82,69,80,84,65,64,73,84,77,81,65,59,73,79,58,34,85,85,90,87
299,Marko Arnautović,ST,81,21000000.0,32,ST,Right,4,4,3,79.0,81.0,79.0,78.0,44.0,82.0,77,80,79,81,79,77,79,72,74,82,78,80,70,78,80,84,78,77,87,82,77,38,79,81,79,79
305,Andy Delort,ST,81,25500000.0,29,SUB,Right,3,3,2,84.0,82.0,73.0,75.0,37.0,85.0,74,82,84,75,83,76,69,71,64,74,81,87,73,78,74,89,85,83,87,77,80,27,83,77,75,79
307,Daniel William John Ings,ST,81,26500000.0,28,ST,Right,4,3,1,79.0,84.0,70.0,80.0,45.0,70.0,66,86,78,75,76,78,72,70,61,81,82,76,77,86,77,83,79,74,69,83,67,46,86,72,81,85
310,James David Rodríguez Rubio,"RW, CAM, CM",81,25500000.0,29,SUB,Left,3,4,4,53.0,86.0,86.0,86.0,50.0,60.0,89,84,62,84,90,86,89,86,85,90,55,51,78,83,76,86,46,55,64,91,60,55,80,84,81,87
314,Steven Berghuis,RW,81,25500000.0,29,SUB,Left,3,4,2,80.0,81.0,82.0,82.0,36.0,66.0,84,80,48,82,76,81,86,76,80,84,83,78,85,77,75,82,56,77,59,85,70,37,77,82,84,80
315,Francisco Alcácer García,ST,81,28000000.0,27,LS,Right,4,3,2,77.0,84.0,69.0,81.0,35.0,61.0,60,85,78,78,85,78,85,85,51,82,79,76,83,85,81,82,67,60,63,84,57,26,86,67,71,84
326,Arkadiusz Krystian Milik,ST,81,30000000.0,27,ST,Left,3,4,3,64.0,84.0,67.0,76.0,39.0,71.0,63,85,79,70,78,77,76,84,62,81,60,68,66,76,63,86,65,63,78,82,67,36,84,64,79,78
332,Adnan Januzaj,"RW, RM",81,28000000.0,26,RW,Left,4,4,1,79.0,75.0,80.0,83.0,30.0,58.0,81,77,42,81,70,86,80,73,76,81,83,75,84,79,75,74,61,70,58,76,41,36,78,81,60,78
334,Andrea Belotti,ST,81,30000000.0,27,ST,Right,5,3,3,76.0,81.0,59.0,78.0,38.0,83.0,42,88,84,71,82,78,64,56,48,77,74,78,75,81,77,81,83,78,85,67,83,31,86,61,77,81
335,Lucas Vázquez Iglesias,"RW, RB, RM",81,25000000.0,30,SUB,Right,4,4,2,82.0,73.0,79.0,80.0,69.0,69.0,83,72,58,79,58,81,83,71,76,79,83,82,81,81,81,80,69,91,57,76,72,72,80,79,56,75
342,Anthony Martial,"ST, LM",81,34500000.0,25,SUB,Right,4,4,3,87.0,80.0,73.0,85.0,35.0,68.0,73,80,71,78,76,88,84,54,60,86,87,87,82,79,79,83,73,68,74,76,54,34,79,77,80,78
346,Carlos Joaquín Correa,"CF, ST, CAM",81,31000000.0,26,SUB,Right,4,4,1,84.0,75.0,77.0,85.0,39.0,69.0,74,77,68,81,75,88,81,63,74,86,81,87,83,80,67,79,63,76,74,71,48,36,79,78,57,73
347,Iñaki Williams Arthuer,"ST, RW",81,30000000.0,27,LS,Right,2,4,2,94.0,78.0,72.0,78.0,37.0,81.0,76,77,73,74,74,81,76,53,66,76,93,94,78,82,62,85,88,83,82,77,75,21,85,73,64,81
349,José Luis Morales Nogales,"ST, LM",81,16500000.0,33,LS,Right,4,4,2,86.0,82.0,75.0,85.0,52.0,68.0,77,84,64,77,84,87,82,68,68,84,87,86,80,80,83,82,63,78,67,78,58,58,84,76,76,84
354,Dominic Calvert-Lewin,ST,81,37500000.0,24,ST,Right,3,3,2,83.0,77.0,64.0,77.0,39.0,82.0,65,82,89,72,73,76,64,54,47,80,76,89,72,81,65,79,91,80,83,65,78,35,84,64,77,76
355,Hirving Rodrigo Lozano Bahena,"RW, LW",81,31000000.0,25,SUB,Right,3,4,3,93.0,76.0,72.0,82.0,41.0,62.0,73,77,62,74,74,83,72,65,65,80,92,93,89,81,82,76,67,76,54,75,64,45,82,74,73,75
372,Ruslan Malinovskyi,"CF, CM",81,26500000.0,28,RF,Left,4,4,3,74.0,80.0,83.0,81.0,64.0,79.0,79,73,74,85,70,83,85,86,81,85,73,74,69,77,73,90,74,81,79,87,78,66,77,84,83,75
381,Pedro António Pereira Gonçalves,"RW, CM",81,51500000.0,23,RW,Right,4,4,1,76.0,81.0,79.0,84.0,56.0,65.0,75,84,40,83,79,83,77,72,78,84,77,76,83,84,87,81,43,85,58,76,64,66,84,81,74,86
382,Moussa Diaby,"LW, RW",81,52500000.0,21,RM,Left,2,4,2,94.0,67.0,73.0,85.0,41.0,53.0,75,73,28,78,63,87,66,41,70,82,96,92,92,77,93,73,62,70,44,54,51,48,77,76,42,75
385,Dejan Kulusevski,"RW, CF",81,58000000.0,21,SUB,Left,4,4,2,84.0,74.0,77.0,84.0,56.0,76.0,80,70,54,79,80,85,83,61,69,87,85,83,77,80,73,74,66,85,77,83,67,55,77,78,65,83
393,Raúl García Escudero,"ST, CAM",80,10500000.0,34,RS,Right,3,3,2,41.0,82.0,81.0,78.0,65.0,83.0,80,80,90,83,73,80,78,68,82,85,45,37,54,83,61,85,92,75,86,86,84,69,85,83,85,85
398,Dimitri Payet,"LW, CAM",80,10000000.0,34,CF,Right,4,4,3,69.0,77.0,83.0,82.0,38.0,67.0,85,75,59,83,76,84,83,74,80,83,71,68,81,75,73,80,40,69,72,77,57,37,79,83,79,74
405,Alexis Alejandro Sánchez Sánchez,"CF, ST",80,17000000.0,32,SUB,Right,4,4,4,78.0,76.0,78.0,83.0,43.0,68.0,76,74,59,79,82,84,78,74,77,83,80,76,84,79,87,80,85,68,68,76,64,46,81,80,69,75
420,Pablo Sarabia García,"RW, CAM",80,20500000.0,29,SUB,Left,4,4,2,72.0,76.0,81.0,82.0,57.0,59.0,81,77,61,83,64,83,84,74,78,83,73,72,78,79,80,75,31,71,59,77,49,58,81,83,69,76
423,João Pedro Geraldino dos Santos Galvão,"CF, ST, CAM",80,21000000.0,29,LS,Right,4,4,1,72.0,78.0,77.0,81.0,41.0,74.0,69,82,73,81,72,81,80,76,74,83,74,71,72,85,74,77,82,75,74,73,69,42,81,80,69,81
434,Eran Zahavi,ST,80,13500000.0,33,ST,Right,4,4,2,77.0,82.0,74.0,79.0,39.0,73.0,69,84,71,77,78,79,74,81,69,79,76,78,80,81,77,80,85,77,76,81,58,38,82,78,75,75
438,Sébastien Haller,ST,80,24500000.0,27,ST,Right,3,3,3,66.0,79.0,62.0,74.0,51.0,81.0,42,82,85,74,83,74,57,46,49,79,58,73,67,80,52,81,82,69,91,65,70,36,81,75,88,81
442,Roger Martí Salvador,ST,80,20500000.0,30,RS,Right,3,3,2,77.0,82.0,63.0,77.0,41.0,74.0,59,84,71,73,84,76,54,46,59,79,76,77,73,83,75,83,73,78,74,75,69,35,85,61,82,80
445,Gaëtan Laborde,"ST, RM",80,24500000.0,27,SUB,Left,4,3,2,77.0,78.0,76.0,78.0,40.0,82.0,74,80,84,80,84,79,70,59,71,80,75,79,71,78,63,78,88,88,83,75,72,36,82,78,69,80
469,Borja Iglesias Quintas,ST,80,21500000.0,28,ST,Right,3,3,1,65.0,80.0,64.0,74.0,35.0,80.0,50,82,80,73,71,74,51,36,65,79,61,69,60,76,73,83,70,71,90,74,69,30,83,71,79,80
489,Donyell Malen,ST,80,33000000.0,22,LS,Right,3,4,2,90.0,79.0,72.0,83.0,30.0,74.0,71,82,69,75,74,83,74,61,64,83,90,90,84,81,83,79,77,79,75,72,62,31,80,77,74,76
491,Victor James Osimhen,ST,80,43000000.0,22,ST,Right,4,3,2,88.0,80.0,63.0,75.0,39.0,81.0,64,85,78,69,75,74,63,48,53,77,83,92,77,78,68,78,88,80,82,72,76,34,81,65,75,72
499,Vinícius José Paixão de Oliveira Júnior,LW,80,46500000.0,20,SUB,Right,4,5,2,95.0,70.0,71.0,87.0,29.0,66.0,71,69,50,72,70,89,77,62,67,85,95,95,94,75,81,73,75,80,62,68,58,26,76,73,65,75
500,Maximiliano Gómez González,ST,80,32000000.0,24,RS,Right,3,3,1,66.0,81.0,68.0,73.0,32.0,82.0,59,84,87,73,75,72,75,57,64,77,66,66,67,80,57,81,83,79,87,74,74,21,87,70,72,82
511,Franck Bilal Ribéry,"CF, LW",79,6000000.0,38,RS,Right,5,5,4,69.0,73.0,81.0,85.0,30.0,53.0,74,71,41,85,79,87,83,81,82,89,69,69,74,69,87,79,33,54,55,68,51,33,79,81,78,81
520,Olivier Giroud,ST,79,8500000.0,34,ST,Left,3,3,3,39.0,80.0,70.0,71.0,42.0,77.0,64,82,90,75,82,69,70,65,58,81,34,43,54,81,53,84,82,54,88,66,76,42,82,77,90,79
529,Luuk de Jong,ST,79,17000000.0,30,SUB,Right,5,3,2,50.0,78.0,71.0,70.0,46.0,75.0,66,79,93,80,83,67,63,69,62,79,48,52,54,76,57,83,88,71,84,70,54,40,84,69,67,76
531,Michail Antonio,"ST, RM",79,15000000.0,31,ST,Right,3,4,2,83.0,76.0,73.0,78.0,55.0,83.0,75,79,84,75,70,79,66,60,72,76,79,87,80,80,78,79,91,76,86,68,83,45,80,74,75,70
533,Stephan El Shaarawy,"LW, LM",79,17500000.0,28,SUB,Right,3,4,3,87.0,75.0,74.0,79.0,46.0,63.0,75,74,65,75,83,79,85,68,66,77,87,87,93,75,80,73,69,71,64,77,51,36,79,78,69,73
537,Christopher Grant Wood,ST,79,17500000.0,29,RS,Right,3,2,1,64.0,79.0,60.0,70.0,40.0,81.0,46,81,87,68,74,69,69,64,48,77,60,68,55,77,59,81,79,76,86,72,77,40,80,64,81,77
543,Xherdan Shaqiri,"RW, RM",79,17000000.0,29,RM,Left,4,5,3,75.0,76.0,80.0,81.0,46.0,67.0,79,70,45,80,76,80,85,82,78,82,77,73,83,77,91,87,51,65,71,81,61,55,75,80,65,79
544,Youssef El Arabi,ST,79,8500000.0,34,ST,Right,4,3,2,71.0,83.0,69.0,79.0,37.0,70.0,61,87,77,72,85,80,73,74,64,81,75,68,82,76,58,79,72,69,78,76,51,44,81,74,86,74
546,Callum Wilson,ST,79,17500000.0,29,RS,Right,3,4,2,80.0,78.0,66.0,78.0,41.0,77.0,61,82,78,72,71,78,63,45,62,79,77,83,75,79,72,77,70,76,79,68,74,40,83,70,83,79
551,Lucas Pérez Martínez,ST,79,14000000.0,32,LS,Left,4,4,2,79.0,82.0,75.0,77.0,32.0,69.0,74,85,68,75,79,78,82,77,69,79,78,79,72,80,70,82,65,68,70,78,67,38,81,78,82,76
